Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C37,4n7,CAP_0805,2.5,46.99,270,bottom
C38,10u,CAP_0805,-5.5,2,0,bottom
C39,100n,CAP_0805,-5.5,-2,0,bottom
C40,1u,CAP_0805,-2,-4,0,bottom
C41,100n,CAP_0805,5.5,4,0,bottom
C42,100n,CAP_0805,-2,-6,0,bottom
C43,10u,CAP_0805,5.5,-2,0,bottom
C44,100n,CAP_0805,2,-6,0,bottom
C45,100n,CAP_0805,-5.5,-4,180,bottom
C46,100n,CAP_0805,5.5,-6,180,bottom
C47,100n,CAP_0805,-5.5,-6,180,bottom
C48,100n,CAP_0805,5.5,-4,180,bottom
C49,100n,CAP_0805,2,6,0,bottom
C50,N.F.18p,CAP_0805,-5.5,6,180,bottom
C51,N.F.18p,CAP_0805,-5.5,4,180,bottom
C52,100n,CAP_0805,-15.875,17.145,90,bottom
C53,1u,CAP_0805,2,2,0,bottom
C54,100n,CAP_0805,5.5,2,0,bottom
C55,100n,CAP_0805,5.5,6,0,bottom
C56,100n,CAP_0805,13.335,17.145,90,bottom
C57,100n,CAP_0805,15.875,17.145,90,bottom
C58,100n,CAP_0805,10.795,17.145,90,bottom
C59,100n,CAP_0805,40.005,17.145,90,bottom
C60,100n,CAP_0805,42.545,17.145,90,bottom
C61,100n,CAP_0805,37.465,17.145,90,bottom
C62,100n,CAP_0805,-40.005,-9.525,90,bottom
C63,100n,CAP_0805,-37.465,-9.525,90,bottom
C64,100n,CAP_0805,-42.545,-9.525,90,bottom
C65,100n,CAP_0805,-13.335,-9.525,90,bottom
C66,100n,CAP_0805,-10.795,-9.525,90,bottom
C67,100n,CAP_0805,-15.875,-9.525,90,bottom
C68,100n,CAP_0805,13.335,-9.525,90,bottom
C69,100n,CAP_0805,15.875,-9.525,90,bottom
C70,100n,CAP_0805,10.795,-9.525,90,bottom
C71,100n,CAP_0805,40.005,-9.525,90,bottom
C72,100n,CAP_0805,42.545,-9.525,90,bottom
C73,100n,CAP_0805,37.465,-9.525,90,bottom
C74,100n,CAP_0805,-40.005,-36.195,90,bottom
C75,100n,CAP_0805,-37.465,-36.195,90,bottom
C76,100n,CAP_0805,-42.545,-36.195,90,bottom
C77,100n,CAP_0805,-13.335,-36.195,90,bottom
C78,100n,CAP_0805,-10.795,-36.195,90,bottom
C79,100n,CAP_0805,-15.875,-36.195,90,bottom
C80,100n,CAP_0805,13.335,-36.195,90,bottom
C81,100n,CAP_0805,15.875,-36.195,90,bottom
C82,100n,CAP_0805,10.795,-36.195,90,bottom
C83,100n,CAP_0805,40.005,-36.195,90,bottom
C84,100n,CAP_0805,42.545,-36.195,90,bottom
C85,100n,CAP_0805,37.465,-36.195,90,bottom
C86,100n,CAP_0805,-24.13,33.02,90,bottom
C87,100n,CAP_0805,29.21,33.02,90,bottom
C88,100n,CAP_0805,-29.21,20.32,90,bottom
C89,100n,CAP_0805,24.13,20.32,90,bottom
C90,100n,CAP_0805,-29.21,-6.35,90,bottom
C91,100n,CAP_0805,24.13,-6.35,90,bottom
C92,100n,CAP_0805,-29.21,-33.02,90,bottom
C93,100n,CAP_0805,24.13,-33.02,90,bottom
C94,100n,CAP_0805,0,-17.78,0,bottom
C95,100n,CAP_0805,-1,-42.5,270,bottom
FB1,600 Ohm @ 100MHz,FERRIT_0805,5.5,0,0,bottom
FB2,600 Ohm @ 100MHz,FERRIT_0805,-5.5,0,0,bottom
R1,10k,RES_0805,-40.005,36.195,90,bottom
R2,10k,RES_0805,-37.465,36.195,90,bottom
R3,10k,RES_0805,-42.545,36.195,90,bottom
R4,10k,RES_0805,-40.005,40.005,90,bottom
R5,10k,RES_0805,-37.465,40.005,270,bottom
R6,10k,RES_0805,-42.545,40.005,270,bottom
R7,10k,RES_0805,-13.335,36.195,90,bottom
R8,10k,RES_0805,-10.795,36.195,90,bottom
R9,10k,RES_0805,-15.875,36.195,90,bottom
R10,10k,RES_0805,-13.335,40.005,90,bottom
R11,10k,RES_0805,-10.795,40.005,270,bottom
R12,10k,RES_0805,-15.875,40.005,270,bottom
R13,10k,RES_0805,13.335,36.195,90,bottom
R14,10k,RES_0805,15.875,36.195,90,bottom
R15,10k,RES_0805,10.795,36.195,90,bottom
R16,10k,RES_0805,13.335,40.005,90,bottom
R17,10k,RES_0805,15.875,40.005,270,bottom
R18,10k,RES_0805,10.795,40.005,270,bottom
R19,10k,RES_0805,40.005,36.195,90,bottom
R20,10k,RES_0805,42.545,36.195,90,bottom
R21,10k,RES_0805,37.465,36.195,90,bottom
R22,10k,RES_0805,40.005,40.005,90,bottom
R23,10k,RES_0805,42.545,40.005,270,bottom
R24,10k,RES_0805,37.465,40.005,270,bottom
R25,10k,RES_0805,-40.005,9.525,90,bottom
R26,10k,RES_0805,-37.465,9.525,90,bottom
R27,10k,RES_0805,-42.545,9.525,90,bottom
R28,10k,RES_0805,-40.005,13.335,90,bottom
R29,10k,RES_0805,-37.465,13.335,270,bottom
R30,10k,RES_0805,-42.545,13.335,270,bottom
R31,10k,RES_0805,-13.335,9.525,90,bottom
R32,10k,RES_0805,-10.795,9.525,90,bottom
R33,10k,RES_0805,-5,-25,90,bottom
R34,5k1,RES_0805,3.175,39,270,bottom
R35,5k1,RES_0805,0,47,270,bottom
R36,10k,RES_0805,2,4,180,bottom
R37,1M,RES_0805,-2.5,46.99,270,bottom
R38,1k,RES_0805,-1.905,21.59,0,bottom
R39,1k,RES_0805,1.905,21.59,180,bottom
R40,1k,RES_0805,1,-42.5,90,bottom
R41,1k,RES_0805,1.905,19.685,0,bottom
R42,1k,RES_0805,-1.905,19.685,180,bottom
R43,10k,RES_0805,-15.875,9.525,90,bottom
R44,10k,RES_0805,-13.335,13.335,90,bottom
R45,10k,RES_0805,-10.795,13.335,270,bottom
R46,10k,RES_0805,-15.875,13.335,270,bottom
R47,10k,RES_0805,13.335,9.525,90,bottom
R48,10k,RES_0805,15.875,9.525,90,bottom
R49,10k,RES_0805,10.795,9.525,90,bottom
R50,10k,RES_0805,13.335,13.335,90,bottom
R51,10k,RES_0805,15.875,13.335,270,bottom
R52,10k,RES_0805,10.795,13.335,270,bottom
R53,10k,RES_0805,40.005,9.525,90,bottom
R54,10k,RES_0805,42.545,9.525,90,bottom
R55,10k,RES_0805,37.465,9.525,90,bottom
R56,10k,RES_0805,40.005,13.335,90,bottom
R57,10k,RES_0805,42.545,13.335,270,bottom
R58,10k,RES_0805,37.465,13.335,270,bottom
R59,10k,RES_0805,-40.005,-17.145,90,bottom
R60,10k,RES_0805,-37.465,-17.145,90,bottom
R61,10k,RES_0805,-42.545,-17.145,90,bottom
R62,10k,RES_0805,-40.005,-13.335,90,bottom
R63,10k,RES_0805,-37.465,-13.335,270,bottom
R64,10k,RES_0805,-42.545,-13.335,270,bottom
R65,10k,RES_0805,-13.335,-17.145,90,bottom
R66,10k,RES_0805,-10.795,-17.145,90,bottom
R67,10k,RES_0805,-15.875,-17.145,90,bottom
R68,10k,RES_0805,-13.335,-13.335,90,bottom
R69,10k,RES_0805,-10.795,-13.335,270,bottom
R70,10k,RES_0805,-15.875,-13.335,270,bottom
R71,10k,RES_0805,13.335,-17.145,90,bottom
R72,10k,RES_0805,15.875,-17.145,90,bottom
R73,10k,RES_0805,10.795,-17.145,90,bottom
R74,10k,RES_0805,13.335,-13.335,90,bottom
R75,10k,RES_0805,15.875,-13.335,270,bottom
R76,10k,RES_0805,10.795,-13.335,270,bottom
R77,10k,RES_0805,40.005,-17.145,90,bottom
R78,10k,RES_0805,42.545,-17.145,90,bottom
R79,10k,RES_0805,37.465,-17.145,90,bottom
R80,10k,RES_0805,40.005,-13.335,90,bottom
R81,10k,RES_0805,42.545,-13.335,270,bottom
R82,10k,RES_0805,37.465,-13.335,270,bottom
R83,10k,RES_0805,-40.005,-43.815,90,bottom
R84,10k,RES_0805,-37.465,-43.815,90,bottom
R85,10k,RES_0805,-42.545,-43.815,90,bottom
R86,10k,RES_0805,-40.005,-40.005,90,bottom
R87,10k,RES_0805,-37.465,-40.005,270,bottom
R88,10k,RES_0805,-42.545,-40.005,270,bottom
R89,10k,RES_0805,-13.335,-43.815,90,bottom
R90,10k,RES_0805,-10.795,-43.815,90,bottom
R91,10k,RES_0805,-15.875,-43.815,90,bottom
R92,10k,RES_0805,-13.335,-40.005,90,bottom
R93,10k,RES_0805,-10.795,-40.005,270,bottom
R94,10k,RES_0805,-15.875,-40.005,270,bottom
R95,10k,RES_0805,13.335,-43.815,90,bottom
R96,10k,RES_0805,15.875,-43.815,90,bottom
R97,10k,RES_0805,10.795,-43.815,90,bottom
R98,10k,RES_0805,13.335,-40.005,90,bottom
R99,10k,RES_0805,15.875,-40.005,270,bottom
R100,10k,RES_0805,10.795,-40.005,270,bottom
R101,10k,RES_0805,40.005,-43.815,90,bottom
R102,10k,RES_0805,42.545,-43.815,90,bottom
R103,10k,RES_0805,37.465,-43.815,90,bottom
R104,10k,RES_0805,40.005,-40.005,90,bottom
R105,10k,RES_0805,42.545,-40.005,270,bottom
R106,10k,RES_0805,37.465,-40.005,270,bottom
U1,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),-26.67,40.005,270,bottom
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),26.67,40.005,270,bottom
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),0,-25.4,90,bottom
U4,SESRV05-4 ,SOT-23-6,0,39,90,bottom
U5,LN1134A332MR-G,SOT-23-5,-2,-1,90,bottom
U6,LN1134A332MR-G,SOT-23-5,2,-1,90,bottom
U8,W25Q16JVSSIQ,SOIC-8_WIDE(rot90),0,-13.335,270,bottom
U9,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),-26.67,13.335,270,bottom
U10,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),26.67,13.335,270,bottom
U11,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),-26.67,-13.335,270,bottom
U12,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),26.67,-13.335,270,bottom
U13,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),-26.67,-40.005,270,bottom
U14,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),26.67,-40.005,270,bottom
Y1,N.F.16Mhz,Crystal_SMD_3215-2Pin_3.2x1.5mm,-2,5,270,bottom
